English,German
the nature,die Natur
the forest,der Wald
the tree,der Baum
the flower,die Blume
the grass,das Gras
the river,der Fluss
the lake,der See
the mountain,der Berg
the valley,das Tal
the animal,das Tier
the bird,der Vogel
the fish,der Fisch
the insect,das Insekt
the leaf,das Blatt
the root,die Wurzel
the stone,der Stein
the earth,die Erde
the air,die Luft
the water,das Wasser
the environment,die Umwelt
the meadow,die Wiese
the field,das Feld
the path,der Weg
the trail,der Pfad
the hill,der Hügel
the cliff,die Klippe
the coast,die Küste
the beach,der Strand
the sea,das Meer
the island,die Insel
the cave,die Höhle
the waterfall,der Wasserfall
the stream,der Bach
the pond,der Teich
the swamp,der Sumpf
the desert,die Wüste
the jungle,der Dschungel
the landscape,die Landschaft
the sky,der Himmel
the horizon,der Horizont
the cloud,die Wolke
the sunlight,das Sonnenlicht
the shadow,der Schatten
the rain,der Regen
the snow,der Schnee
the ice,das Eis
the frost,der Frost
the mud,der Schlamm
the sand,der Sand
the rock,der Felsen
the mineral,das Mineral
the branch,der Ast
the trunk,der Stamm
the bark,die Rinde
the bush,der Busch
the shrub,der Strauch
the moss,das Moos
the mushroom,der Pilz
the berry,die Beere
the fruit,die Frucht
the seed,der Samen
the blossom,die Blüte
the plant,die Pflanze
the herb,das Kraut
the oak,die Eiche
the pine,die Kiefer
the birch,die Birke
the fox,der Fuchs
the deer,das Reh
the squirrel,das Eichhörnchen
the butterfly,der Schmetterling
the bee,die Biene
the ant,die Ameise
the worm,der Wurm
the shell,die Muschel
the nest,das Nest
the footprint,die Spur
the habitat,der Lebensraum
the species,die Art
the biodiversity,die Artenvielfalt
the ecosystem,das Ökosystem
the protection,der Schutz
the nature reserve,das Naturschutzgebiet
the national park,der Nationalpark
the pollution,die Verschmutzung
the waste,der Abfall
the recycling,das Recycling
the climate change,der Klimawandel
the drought,die Dürre
the flood,die Überschwemmung
the wildfire,der Waldbrand
the sunrise,der Sonnenaufgang
the sunset,der Sonnenuntergang
the moon,der Mond
the star,der Stern
the planet,der Planet
the soil,der Boden
the groundwater,das Grundwasser
the fresh air,die frische Luft
the silence,die Stille
