English,German
the hobby,das Hobby
the music,die Musik
the instrument,das Instrument
the guitar,die Gitarre
the piano,das Klavier
the book,das Buch
the film,der Film
the game,das Spiel
the garden,der Garten
the photo,das Foto
the camera,die Kamera
the drawing,die Zeichnung
the painting,das Gemälde
the club,der Verein
the collection,die Sammlung
the puzzle,das Rätsel
the craft,die Bastelarbeit
the dance,der Tanz
the concert,das Konzert
the free time,die Freizeit
the leisure activity,die Freizeitbeschäftigung
the sport,der Sport
the exercise,die Übung
the training,das Training
the swimming,das Schwimmen
the hiking,das Wandern
the cycling,das Radfahren
the running,das Laufen
the yoga,das Yoga
the board game,das Brettspiel
the card game,das Kartenspiel
the dice,der Würfel
the chess,das Schach
the video game,das Videospiel
the console,die Konsole
the controller,der Controller
the model,das Modell
the model building,der Modellbau
the sewing,das Nähen
the knitting,das Stricken
the crochet,das Häkeln
the pottery,die Töpferei
the workshop,die Werkstatt
the tool,das Werkzeug
the glue,der Klebstoff
the scissors,die Schere
the brush,der Pinsel
the paint,die Farbe
the canvas,die Leinwand
the pencil,der Bleistift
the colored pencil,der Buntstift
the sketchbook,das Skizzenbuch
the notebook,das Notizbuch
the novel,der Roman
the poem,das Gedicht
the story,die Geschichte
the library,die Bibliothek
the reading,das Lesen
the writing,das Schreiben
the diary,das Tagebuch
the blog,der Blog
the choir,der Chor
the band,die Band
the song,das Lied
the melody,die Melodie
the rhythm,der Rhythmus
the singer,der Sänger
the singer female,die Sängerin
the drummer,der Schlagzeuger
the violin,die Geige
the flute,die Flöte
the ticket,die Eintrittskarte
the stage,die Bühne
the audience,das Publikum
the museum,das Museum
the exhibition,die Ausstellung
the gallery,die Galerie
the trip,der Ausflug
the picnic,das Picknick
the cooking,das Kochen
the baking,das Backen
the recipe,das Rezept
the cake,der Kuchen
the plant,die Pflanze
the flowerpot,der Blumentopf
the balcony,der Balkon
the seed,der Samen
the soil,die Erde
the watering can,die Gießkanne
the aquarium,das Aquarium
the collection album,das Sammelalbum
the stamp,die Briefmarke
the coin,die Münze
the postcard,die Postkarte
the toy,das Spielzeug
the kite,der Drachen
the hobby room,der Hobbyraum
the course,der Kurs
the lesson,die Unterrichtsstunde
the beginner,der Anfänger
