English,German
the body,der Körper
the head,der Kopf
the face,das Gesicht
the eye,das Auge
the ear,das Ohr
the nose,die Nase
the mouth,der Mund
the tooth,der Zahn
the tongue,die Zunge
the neck,der Hals
the shoulder,die Schulter
the arm,der Arm
the elbow,der Ellbogen
the hand,die Hand
the finger,der Finger
the chest,die Brust
the back,der Rücken
the stomach,der Bauch
the leg,das Bein
the knee,das Knie
the foot,der Fuß
the toe,der Zeh
the ankle,der Knöchel
the heel,die Ferse
the thigh,der Oberschenkel
the calf,die Wade
the hip,die Hüfte
the waist,die Taille
the wrist,das Handgelenk
the palm,die Handfläche
the fist,die Faust
the thumb,der Daumen
the fingernail,der Fingernagel
the skin,die Haut
the hair,das Haar
the beard,der Bart
the forehead,die Stirn
the cheek,die Wange
the chin,das Kinn
the lip,die Lippe
the eyebrow,die Augenbraue
the eyelash,die Wimper
the eyelid,das Augenlid
the pupil,die Pupille
the brain,das Gehirn
the skull,der Schädel
the bone,der Knochen
the joint,das Gelenk
the muscle,der Muskel
the tendon,die Sehne
the nerve,der Nerv
the blood,das Blut
the vein,die Vene
the artery,die Arterie
the heart,das Herz
the lung,die Lunge
the liver,die Leber
the kidney,die Niere
the stomach organ,der Magen
the intestine,der Darm
the bladder,die Blase
the spine,die Wirbelsäule
the rib,die Rippe
the throat,die Kehle
the voice,die Stimme
the breath,der Atem
the pulse,der Puls
the heartbeat,der Herzschlag
the body temperature,die Körpertemperatur
the height,die Körpergröße
the weight,das Gewicht
the posture,die Haltung
the movement,die Bewegung
the strength,die Kraft
the balance,das Gleichgewicht
the sense,der Sinn
the sight,das Sehen
the hearing,das Hören
the smell,der Geruchssinn
the taste,der Geschmackssinn
the touch,der Tastsinn
the pain,der Schmerz
the injury,die Verletzung
the bruise,der blaue Fleck
the scar,die Narbe
the swelling,die Schwellung
the cramp,der Krampf
the tension,die Verspannung
the tiredness,die Müdigkeit
the sleep,der Schlaf
the energy,die Energie
the hygiene,die Hygiene
the shower,die Dusche
the bath,das Bad
the soap,die Seife
the toothbrush,die Zahnbürste
the toothpaste,die Zahnpasta
the towel,das Handtuch
the mirror,der Spiegel
the comb,der Kamm
