English,German
the health,die Gesundheit
the illness,die Krankheit
the doctor,der Arzt
the nurse,die Krankenschwester
the hospital,das Krankenhaus
the clinic,die Klinik
the pharmacy,die Apotheke
the medicine,das Medikament
the tablet,die Tablette
the prescription,das Rezept
the pain,der Schmerz
the fever,das Fieber
the cough,der Husten
the cold,die Erkältung
the wound,die Wunde
the bandage,der Verband
the appointment,der Termin
the examination,die Untersuchung
the diagnosis,die Diagnose
the treatment,die Behandlung
the emergency,der Notfall
the emergency room,die Notaufnahme
the ambulance,der Krankenwagen
the patient,der Patient
the patient female,die Patientin
the specialist,der Facharzt
the specialist female,die Fachärztin
the family doctor,der Hausarzt
the family doctor female,die Hausärztin
the dentist,der Zahnarzt
the dentist female,die Zahnärztin
the surgeon,der Chirurg
the surgeon female,die Chirurgin
the therapist,der Therapeut
the therapist female,die Therapeutin
the health insurance,die Krankenversicherung
the health insurance card,die Gesundheitskarte
the sick note,die Krankschreibung
the certificate of incapacity,die Arbeitsunfähigkeitsbescheinigung
the waiting room,das Wartezimmer
the practice,die Praxis
the consultation hour,die Sprechstunde
the referral,die Überweisung
the medical history,die Krankengeschichte
the symptom,das Symptom
the infection,die Infektion
the inflammation,die Entzündung
the allergy,die Allergie
the asthma,das Asthma
the headache,die Kopfschmerzen
the stomachache,die Bauchschmerzen
the back pain,die Rückenschmerzen
the sore throat,die Halsschmerzen
the nausea,die Übelkeit
the dizziness,der Schwindel
the fatigue,die Erschöpfung
the rash,der Ausschlag
the burn,die Verbrennung
the fracture,der Bruch
the sprain,die Verstauchung
the bleeding,die Blutung
the blood pressure,der Blutdruck
the pulse,der Puls
the thermometer,das Thermometer
the syringe,die Spritze
the injection,die Injektion
the vaccination,die Impfung
the vaccine,der Impfstoff
the antibiotic,das Antibiotikum
the painkiller,das Schmerzmittel
the ointment,die Salbe
the drops,die Tropfen
the plaster,das Pflaster
the crutch,die Krücke
the wheelchair,der Rollstuhl
the operation,die Operation
the surgery,der Eingriff
the anesthesia,die Narkose
the recovery,die Genesung
the prevention,die Vorbeugung
the nutrition,die Ernährung
the diet,die Diät
the exercise,die Bewegung
the relaxation,die Entspannung
the stress,der Stress
the mental health,die psychische Gesundheit
the depression,die Depression
the anxiety,die Angststörung
the counseling,die Beratung
the therapy,die Therapie
the rehabilitation,die Rehabilitation
the care,die Pflege
the caregiver,die Pflegekraft
the nursing home,das Pflegeheim
the laboratory,das Labor
the blood test,die Blutuntersuchung
the x-ray,das Röntgenbild
the ultrasound,der Ultraschall
the result,das Ergebnis
the side effect,die Nebenwirkung
