English,German
qualified,qualifiziert
motivated,motiviert
experienced,erfahren
inexperienced,unerfahren
suitable,geeignet
unsuitable,ungeeignet
confident,selbstbewusst
nervous,nervös
prepared,vorbereitet
unprepared,unvorbereitet
punctual,pünktlich
late,verspätet
friendly,freundlich
polite,höflich
honest,ehrlich
open,offen
interested,interessiert
convincing,überzeugend
clear,klar
detailed,detailliert
complete,vollständig
incomplete,unvollständig
formal,formell
informal,informell
current,aktuell
previous,vorherig
permanent,unbefristet
temporary,befristet
full-time,Vollzeit
part-time,Teilzeit
remote,remote
personal,persönlich
professional,beruflich
available,verfügbar
flexible,flexibel
ambitious,ehrgeizig
careful,sorgfältig
reliable,zuverlässig
responsible,verantwortungsbewusst
successful,erfolgreich
