English,German
the shop,das Geschäft
the supermarket,der Supermarkt
the market,der Markt
the bakery,die Bäckerei
the cashier,die Kasse
the basket,der Korb
the cart,der Einkaufswagen
the shelf,das Regal
the product,das Produkt
the offer,das Angebot
the discount,der Rabatt
the price tag,das Preisschild
the receipt,der Kassenbon
the bag,die Tüte
the customer,der Kunde
the seller,der Verkäufer
the size,die Größe
the color,die Farbe
the brand,die Marke
the return,die Rückgabe
the shopping,der Einkauf
the shopping list,die Einkaufsliste
the shopping center,das Einkaufszentrum
the department store,das Kaufhaus
the drugstore,die Drogerie
the pharmacy,die Apotheke
the butcher,die Metzgerei
the greengrocer,der Gemüseladen
the kiosk,der Kiosk
the online shop,der Onlineshop
the checkout area,der Kassenbereich
the cashier person,der Kassierer
the cashier female,die Kassiererin
the sales assistant,der Verkaufsberater
the sales assistant female,die Verkäuferin
the customer service,der Kundenservice
the advice,die Beratung
the selection,die Auswahl
the assortment,das Sortiment
the item,der Artikel
the goods,die Ware
the package,die Packung
the packaging,die Verpackung
the bottle,die Flasche
the can,die Dose
the jar,das Glas
the box,die Schachtel
the bag small,der Beutel
the shopping bag,die Einkaufstasche
the paper bag,die Papiertüte
the plastic bag,die Plastiktüte
the label,das Etikett
the barcode,der Barcode
the price,der Preis
the special offer,das Sonderangebot
the bargain,das Schnäppchen
the sale,der Schlussverkauf
the voucher,der Gutschein
the coupon,der Coupon
the loyalty card,die Kundenkarte
the deposit,das Pfand
the deposit bottle,die Pfandflasche
the payment,die Bezahlung
the cash payment,die Barzahlung
the card payment,die Kartenzahlung
the debit card,die EC-Karte
the credit card,die Kreditkarte
the pin,die PIN
the change,das Wechselgeld
the invoice,die Rechnung
the warranty,die Garantie
the complaint,die Reklamation
the exchange,der Umtausch
the refund,die Erstattung
the delivery,die Lieferung
the shipping,der Versand
the delivery address,die Lieferadresse
the order,die Bestellung
the order number,die Bestellnummer
the parcel,das Paket
the pickup,die Abholung
the fitting room,die Umkleidekabine
the mirror,der Spiegel
the clothing size,die Kleidergröße
the shoe size,die Schuhgröße
the material,das Material
the quality,die Qualität
the sample,die Probe
the test product,das Testprodukt
the expiry date,das Haltbarkeitsdatum
the ingredient,die Zutat
the allergy information,der Allergiehinweis
the opening hours,die Öffnungszeiten
the entrance,der Eingang
the exit,der Ausgang
the elevator,der Aufzug
the escalator,die Rolltreppe
the parking lot,der Parkplatz
the queue,die Schlange
the security guard,der Sicherheitsdienst
