English,German
the apartment,die Wohnung
the house,das Haus
the room,das Zimmer
the living room,das Wohnzimmer
the bedroom,das Schlafzimmer
the kitchen,die Küche
the bathroom,das Badezimmer
the hallway,der Flur
the basement,der Keller
the attic,der Dachboden
the balcony,der Balkon
the garden,der Garten
the garage,die Garage
the wall,die Wand
the floor,der Boden
the ceiling,die Decke
the window,das Fenster
the door,die Tür
the key,der Schlüssel
the lock,das Schloss
the doormat,die Fußmatte
the stairs,die Treppe
the shelf,das Regal
the cabinet,der Schrank
the wardrobe,der Kleiderschrank
the cupboard,der Küchenschrank
the drawer,die Schublade
the table,der Tisch
the desk,der Schreibtisch
the chair,der Stuhl
the armchair,der Sessel
the sofa,das Sofa
the couch,die Couch
the bed,das Bett
the mattress,die Matratze
the pillow,das Kissen
the blanket,die Decke
the duvet,die Bettdecke
the bedsheet,das Bettlaken
the nightstand,der Nachttisch
the dresser,die Kommode
the mirror,der Spiegel
the curtain,der Vorhang
the carpet,der Teppich
the rug,der Läufer
the lamp,die Lampe
the ceiling lamp,die Deckenlampe
the desk lamp,die Schreibtischlampe
the light switch,der Lichtschalter
the socket,die Steckdose
the extension cord,das Verlängerungskabel
the power strip,die Mehrfachsteckdose
the charger,das Ladegerät
the cable,das Kabel
the television,der Fernseher
the remote control,die Fernbedienung
the speaker,der Lautsprecher
the radio,das Radio
the clock,die Uhr
the picture,das Bild
the frame,der Rahmen
the vase,die Vase
the plant,die Pflanze
the flowerpot,der Blumentopf
the fridge,der Kühlschrank
the freezer,der Gefrierschrank
the oven,der Backofen
the stove,der Herd
the cooktop,das Kochfeld
the microwave,die Mikrowelle
the dishwasher,die Spülmaschine
the sink,das Spülbecken
the faucet,der Wasserhahn
the kettle,der Wasserkocher
the coffee machine,die Kaffeemaschine
the toaster,der Toaster
the blender,der Mixer
the hand mixer,das Handrührgerät
the food processor,die Küchenmaschine
the scale,die Waage
the cutting board,das Schneidebrett
the knife,das Messer
the fork,die Gabel
the spoon,der Löffel
the teaspoon,der Teelöffel
the tablespoon,der Esslöffel
the plate,der Teller
the bowl,die Schüssel
the cup,die Tasse
the mug,der Becher
the glass,das Glas
the pot,der Topf
the pan,die Pfanne
the lid,der Deckel
the baking tray,das Backblech
the casserole dish,die Auflaufform
the colander,das Sieb
the grater,die Reibe
the peeler,der Schäler
the whisk,der Schneebesen
the ladle,die Schöpfkelle
the spatula,der Pfannenwender
the can opener,der Dosenöffner
the bottle opener,der Flaschenöffner
the corkscrew,der Korkenzieher
the napkin,die Serviette
the tablecloth,die Tischdecke
the dish towel,das Geschirrtuch
the sponge,der Schwamm
the trash can,der Mülleimer
the garbage bag,der Müllbeutel
the soap,die Seife
the towel,das Handtuch
the bath towel,das Badetuch
the toothbrush,die Zahnbürste
the toothpaste,die Zahnpasta
the shower,die Dusche
the bathtub,die Badewanne
the toilet,die Toilette
the toilet paper,das Toilettenpapier
the sink basin,das Waschbecken
the hair dryer,der Föhn
the comb,der Kamm
the brush,die Bürste
the razor,der Rasierer
the washing machine,die Waschmaschine
the dryer,der Trockner
the laundry basket,der Wäschekorb
the clothes hanger,der Kleiderbügel
the iron,das Bügeleisen
the ironing board,das Bügelbrett
the drying rack,der Wäscheständer
the vacuum cleaner,der Staubsauger
the broom,der Besen
the dustpan,die Kehrschaufel
the mop,der Wischmopp
the bucket,der Eimer
the cleaning cloth,das Putztuch
the detergent,das Waschmittel
the cleaning agent,das Reinigungsmittel
the screwdriver,der Schraubenzieher
the hammer,der Hammer
the pliers,die Zange
the wrench,der Schraubenschlüssel
the drill,die Bohrmaschine
the screw,die Schraube
the nail,der Nagel
the tape measure,das Maßband
the level,die Wasserwaage
the ladder,die Leiter
the toolbox,der Werkzeugkasten
the glue,der Kleber
the tape,das Klebeband
the scissors,die Schere
the pen,der Stift
the pencil,der Bleistift
the notebook,das Notizbuch
the folder,der Ordner
the printer,der Drucker
the paper,das Papier
the envelope,der Briefumschlag
the computer,der Computer
the laptop,der Laptop
the keyboard,die Tastatur
the mouse,die Maus
the monitor,der Bildschirm
the trash,der Müll
the marmalade,die Marmelade
