English,German
the money,das Geld
the bank,die Bank
the account,das Konto
the card,die Karte
the credit card,die Kreditkarte
the cash,das Bargeld
the coin,die Münze
the bill,der Geldschein
the price,der Preis
the cost,die Kosten
the invoice,die Rechnung
the receipt,der Beleg
the salary,das Gehalt
the rent,die Miete
the tax,die Steuer
the debt,die Schulden
the savings,die Ersparnisse
the transfer,die Überweisung
the loan,der Kredit
the insurance,die Versicherung
the bank account,das Bankkonto
the checking account,das Girokonto
the savings account,das Sparkonto
the account number,die Kontonummer
the iban,die IBAN
the bank code,die Bankleitzahl
the pin,die PIN
the online banking,das Online-Banking
the bank statement,der Kontoauszug
the account balance,der Kontostand
the payment,die Zahlung
the direct debit,die Lastschrift
the standing order,der Dauerauftrag
the withdrawal,die Abhebung
the deposit,die Einzahlung
the cash machine,der Geldautomat
the bank branch,die Bankfiliale
the bank advisor,der Bankberater
the bank advisor female,die Bankberaterin
the interest,die Zinsen
the interest rate,der Zinssatz
the mortgage,die Hypothek
the installment,die Rate
the repayment,die Rückzahlung
the contract,der Vertrag
the financial contract,der Finanzvertrag
the budget,das Budget
the income,das Einkommen
the expense,die Ausgabe
the household money,das Haushaltsgeld
the allowance,das Taschengeld
the pension,die Rente
the unemployment benefit,das Arbeitslosengeld
the child benefit,das Kindergeld
the support,die Unterstützung
the financial aid,die finanzielle Hilfe
the wealth,das Vermögen
the investment,die Investition
the stock,die Aktie
the fund,der Fonds
the risk,das Risiko
the profit,der Gewinn
the loss,der Verlust
the tax return,die Steuererklärung
the tax advisor,der Steuerberater
the tax advisor female,die Steuerberaterin
the tax class,die Steuerklasse
the income tax,die Einkommensteuer
the value added tax,die Mehrwertsteuer
the tax refund,die Steuererstattung
the tax payment,die Steuerzahlung
the gross salary,das Bruttogehalt
the net salary,das Nettogehalt
the payslip,die Gehaltsabrechnung
the bonus,der Bonus
the raise,die Gehaltserhöhung
the pension insurance,die Rentenversicherung
the health insurance,die Krankenversicherung
the liability insurance,die Haftpflichtversicherung
the car insurance,die Autoversicherung
the insurance policy,die Versicherungspolice
the insurance premium,der Versicherungsbeitrag
the claim,der Anspruch
the damage,der Schaden
the compensation,die Entschädigung
the reminder,die Mahnung
the late fee,die Mahngebühr
the debt collection,das Inkasso
the installment payment,die Ratenzahlung
the payment deadline,die Zahlungsfrist
the invoice number,die Rechnungsnummer
the customer number,die Kundennummer
the receipt copy,die Belegkopie
the exchange rate,der Wechselkurs
the currency,die Währung
the euro,der Euro
the cent,der Cent
the price increase,die Preiserhöhung
the discount,der Rabatt
the financial overview,die Finanzübersicht
