English,German
the application,die Bewerbung
the job advertisement,die Stellenanzeige
the position,die Stelle
the vacancy,die freie Stelle
the applicant,der Bewerber
the candidate,der Kandidat
the employer,der Arbeitgeber
the employee,der Arbeitnehmer
the company,das Unternehmen
the recruiter,der Personalvermittler
the human resources department,die Personalabteilung
the cover letter,das Anschreiben
the resume,der Lebenslauf
the curriculum vitae,der Lebenslauf
the certificate,das Zeugnis
the degree,der Abschluss
the qualification,die Qualifikation
the experience,die Erfahrung
the skill,die Fähigkeit
the strength,die Stärke
the weakness,die Schwäche
the reference,die Referenz
the portfolio,das Portfolio
the interview,das Vorstellungsgespräch
the appointment,der Termin
the invitation,die Einladung
the rejection,die Absage
the acceptance,die Zusage
the trial day,der Probetag
the probation period,die Probezeit
the employment contract,der Arbeitsvertrag
the salary expectation,die Gehaltsvorstellung
the notice period,die Kündigungsfrist
the start date,der Eintrittstermin
the signature,die Unterschrift
the application photo,das Bewerbungsfoto
the job portal,das Jobportal
the career,die Karriere
the internship,das Praktikum
the training,die Ausbildung
