English,German
clean,sauber
dirty,schmutzig
tidy,ordentlich
messy,unordentlich
large,groß
small,klein
wide,breit
narrow,eng
high,hoch
low,niedrig
bright,hell
dark,dunkel
warm,warm
cold,kalt
cozy,gemütlich
comfortable,bequem
uncomfortable,unbequem
modern,modern
old-fashioned,altmodisch
new,neu
old,alt
broken,kaputt
repaired,repariert
open,offen
closed,geschlossen
locked,abgeschlossen
empty,leer
full,voll
heavy,schwer
light,leicht
soft,weich
hard,hart
wooden,hölzern
metal,metallisch
plastic,aus Plastik
useful,nützlich
practical,praktisch
decorative,dekorativ
expensive,teuer
cheap,günstig
