English,German
the feeling,das Gefühl
the joy,die Freude
the sadness,die Traurigkeit
the anger,die Wut
the fear,die Angst
the worry,die Sorge
the hope,die Hoffnung
the love,die Liebe
the hate,der Hass
the surprise,die Überraschung
the shame,die Scham
the pride,der Stolz
the jealousy,die Eifersucht
the gratitude,die Dankbarkeit
the trust,das Vertrauen
the doubt,der Zweifel
the stress,der Stress
the calm,die Ruhe
the patience,die Geduld
the mood,die Stimmung
the relief,die Erleichterung
the disappointment,die Enttäuschung
the excitement,die Aufregung
the affection,die Zuneigung
the homesickness,das Heimweh
