English,German
the weather,das Wetter
the sun,die Sonne
the cloud,die Wolke
the rain,der Regen
the snow,der Schnee
the wind,der Wind
the storm,der Sturm
the fog,der Nebel
the temperature,die Temperatur
the degree,das Grad
the heat,die Hitze
the cold,die Kälte
the thunderstorm,das Gewitter
the lightning,der Blitz
the thunder,der Donner
the forecast,die Vorhersage
the umbrella,der Regenschirm
the rainbow,der Regenbogen
the climate,das Klima
the season,die Jahreszeit
the drizzle,der Nieselregen
the hail,der Hagel
the frost,der Frost
the humidity,die Luftfeuchtigkeit
the air pressure,der Luftdruck
